Flight,Time,Altitude,LatError_Meters,LngError_Meters,Heading,Pitch,Roll,Latitude Change Meters,Longitude Change Meters
Flight 10,488871.7964,66810.93327,-87,4040,90,Retrograde-9,25,0,0
Flight 10,488872.0364,66645.09076,-87,4040,90,Retrograde-9,25,0,0
Flight 10,488872.2764,66478.69478,-87,4040,90,Retrograde-9,25,0,0
Flight 10,488872.5164,66311.75023,-87,4039,90,Retrograde-9,25,1,0
Flight 10,488872.7564,66144.24883,-87,4039,90,Retrograde-9,25,0,0
Flight 10,488872.9964,65976.19426,-87,4040,90,Retrograde-9,25,-1,0
Flight 10,488873.2364,65807.59298,-87,4040,90,Retrograde-9,25,0,0
Flight 10,488873.4764,65638.43178,-86,4040,90,Retrograde-9,25,0,1
Flight 10,488873.7164,65468.72725,-86,4039,90,Retrograde-9,25,1,0
Flight 10,488873.9564,65298.46279,-87,4039,90,Retrograde-9,25,0,-1
Flight 10,488874.1964,65127.64458,-87,4039,90,Retrograde-9,25,0,0
Flight 10,488874.4364,64956.2778,-87,4039,90,Retrograde-9,25,0,0
Flight 10,488874.6764,64784.35699,-87,4038,90,Retrograde-9,25,1,0
Flight 10,488874.9164,64611.88451,-87,4039,90,Retrograde-9,25,-1,0
Flight 10,488875.1564,64438.85799,-87,4039,90,Retrograde-9,25,0,0
Flight 10,488875.3964,64265.2798,-87,4039,90,Retrograde-9,25,0,0
Flight 10,488875.6364,64091.15435,-86,4038,90,Retrograde-9,25,1,1
Flight 10,488875.8764,63916.47263,-86,4038,90,Retrograde-9,25,0,0
Flight 10,488876.1164,63741.24081,-87,4038,90,Retrograde-9,25,0,-1
Flight 10,488876.3564,63565.45462,-87,4037,90,Retrograde-9,25,1,0
Flight 10,488876.5964,63389.11561,-86,4037,90,Retrograde-9,25,0,1
Flight 10,488876.8364,63212.22682,-87,4037,90,Retrograde-9,25,0,-1
Flight 10,488877.0764,63034.78033,-87,4038,90,Retrograde-9,25,-1,0
Flight 10,488877.3164,62856.78161,-86,4038,90,Retrograde-9,25,0,1
Flight 10,488877.5564,62678.23308,-86,4038,90,Retrograde-9,25,0,0
Flight 10,488877.7964,62499.12865,-86,4038,90,Retrograde-9,25,0,0
Flight 10,488878.0364,62319.47413,-87,4037,90,Retrograde-9,25,1,-1
Flight 10,488878.2764,62139.26737,-87,4037,90,Retrograde-9,25,0,0
Flight 10,488878.5164,61958.51242,-86,4036,90,Retrograde-9,25,1,1
Flight 10,488878.7564,61777.20372,-87,4036,90,Retrograde-9,25,0,-1
Flight 10,488878.9964,61595.33874,-86,4037,90,Retrograde-9,25,-1,1
Flight 10,488879.2364,61412.92556,-86,4037,90,Retrograde-9,25,0,0
Flight 10,488879.4764,61229.95677,-86,4037,90,Retrograde-9,25,0,0
Flight 10,488879.7164,61046.43732,-87,4036,90,Retrograde-9,25,1,-1
Flight 10,488879.9564,60862.36837,-87,4036,90,Retrograde-9,25,0,0
Flight 10,488880.1964,60677.74445,-87,4035,90,Retrograde-9,25,1,0
Flight 10,488880.4364,60492.57355,-87,4035,90,Retrograde-9,25,0,0
Flight 10,488880.6764,60306.84392,-87,4035,90,Retrograde-9,25,0,0
Flight 10,488880.9164,60120.56703,-87,4035,90,Retrograde-9,25,0,0
Flight 10,488881.1564,59933.74128,-86,4035,90,Retrograde-9,25,0,1
Flight 10,488881.3964,59746.36178,-86,4034,90,Retrograde-9,25,1,0
Flight 10,488881.6364,59558.43032,-86,4034,90,Retrograde-9,25,0,0
Flight 10,488881.8764,59369.94644,-87,4034,90,Retrograde-9,25,0,-1
Flight 10,488882.1164,59180.90908,-87,4034,90,Retrograde-9,25,0,0
Flight 10,488882.3564,58991.3192,-86,4034,90,Retrograde-9,25,0,1
Flight 10,488882.5964,58801.18206,-86,4032,90,Retrograde-9,25,2,0
Flight 10,488882.8361,58610.67555,-86,4033,90,Retrograde-9,25,-1,0
Flight 10,488883.0478,58442.06691,-87,4032,90,Retrograde-9,25,1,-1
Flight 10,488883.2237,58301.62194,-87,4027,90,Retrograde-9,25,5,0
Flight 10,488883.4125,58150.50308,-87,4021,90,Retrograde-9,25,6,0
Flight 10,488883.56,58032.25012,-87,4017,90,Retrograde-9,25,4,0
Flight 10,488883.6998,57920.04157,-87,4013,90,Retrograde-9,25,4,0
Flight 10,488883.8251,57819.19315,-87,4006,90,Retrograde-9,25,7,0
Flight 10,488883.9651,57706.42002,-87,4006,90,Retrograde-9,25,0,0
Flight 10,488884.1051,57593.45573,-87,4006,90,Retrograde-9,25,0,0
Flight 10,488884.2451,57480.30507,-87,4005,90,Retrograde-9,25,1,0
Flight 10,488884.3851,57366.96813,-87,4005,90,Retrograde-9,25,0,0
Flight 10,488884.5251,57253.44303,-87,4005,90,Retrograde-9,25,0,0
Flight 10,488884.6651,57139.73409,-87,4005,90,Retrograde-9,25,0,0
Flight 10,488884.8051,57025.83485,-87,4005,90,Retrograde-9,25,0,0
Flight 10,488884.9451,56911.74959,-86,4005,90,Retrograde-9,25,0,1
Flight 10,488885.0851,56797.47562,-87,4005,90,Retrograde-9,25,0,-1
Flight 10,488885.2251,56683.01349,-86,4006,90,Retrograde-9,25,-1,1
Flight 10,488885.3651,56568.36687,-87,4005,90,Retrograde-9,25,1,-1
Flight 10,488885.5051,56453.5306,-86,4005,90,Retrograde-9,25,0,1
Flight 10,488885.6451,56338.50897,-86,4005,90,Retrograde-9,25,0,0
Flight 10,488885.7851,56223.29611,-86,4005,90,Retrograde-9,25,0,0
Flight 10,488885.9251,56107.89789,-86,4005,90,Retrograde-9,25,0,0
Flight 10,488886.0651,55992.30843,-86,4004,90,Retrograde-9,25,1,0
Flight 10,488886.2051,55876.54066,-86,4004,90,Retrograde-9,25,0,0
Flight 10,488886.3451,55760.57985,-86,4004,90,Retrograde-9,25,0,0
Flight 10,488886.4851,55644.43117,-86,4004,90,Retrograde-9,25,0,0
Flight 10,488886.6251,55528.09377,-86,4004,90,Retrograde-9,25,0,0
Flight 10,488886.7651,55411.57188,-86,4004,90,Retrograde-9,25,0,0
Flight 10,488886.9051,55294.86341,-86,4004,90,Retrograde-9,25,0,0
Flight 10,488887.0451,55177.96831,-86,4004,90,Retrograde-9,25,0,0
Flight 10,488887.1851,55060.88325,-86,4004,90,Retrograde-9,25,0,0
Flight 10,488887.3251,54943.60817,-86,4004,90,Retrograde-9,25,0,0
Flight 10,488887.4651,54826.15083,-86,4003,90,Retrograde-9,25,1,0
Flight 10,488887.6051,54708.50468,-86,4003,90,Retrograde-9,25,0,0
Flight 10,488887.7451,54590.67413,-86,4003,90,Retrograde-9,25,0,0
Flight 10,488887.8851,54472.65722,-86,4002,90,Retrograde-9,25,1,0
Flight 10,488888.0251,54354.45101,-86,4002,90,Retrograde-9,25,0,0
Flight 10,488888.1651,54236.05598,-86,4002,90,Retrograde-9,25,0,0
Flight 10,488888.3051,54117.47684,-86,4001,90,Retrograde-9,25,1,0
Flight 10,488888.4451,53998.7086,-86,4001,90,Retrograde-9,25,0,0
Flight 10,488888.5851,53879.75718,-86,4001,90,Retrograde-9,25,0,0
Flight 10,488888.7251,53760.62005,-86,4001,90,Retrograde-9,25,0,0
Flight 10,488888.8651,53641.29203,-85,4001,90,Retrograde-9,25,0,1
Flight 10,488889.0051,53521.77923,-86,4001,90,Retrograde-9,25,0,-1
Flight 10,488889.1451,53402.07893,-86,4001,90,Retrograde-9,25,0,0
Flight 10,488889.2851,53282.19019,-85,4001,90,Retrograde-9,25,0,1
Flight 10,488889.4251,53162.11668,-85,4001,90,Retrograde-9,25,0,0
Flight 10,488889.5651,53041.85904,-85,4001,90,Retrograde-9,25,0,0
Flight 10,488889.7051,52921.41204,-85,4001,90,Retrograde-9,25,0,0
Flight 10,488889.8451,52800.77507,-85,4000,90,Retrograde-9,25,1,0
Flight 10,488889.9851,52679.95606,-85,4000,90,Retrograde-9,25,0,0
Flight 10,488890.1251,52558.94682,-85,3999,90,Retrograde-9,25,1,0
Flight 10,488890.2651,52437.75158,-85,3999,90,Retrograde-9,25,0,0
Flight 10,488890.4051,52316.37279,-85,3998,90,Retrograde-9,25,1,0
Flight 10,488890.5451,52194.80527,-85,3999,90,Retrograde-9,25,-1,0
Flight 10,488890.6851,52073.05945,-85,3999,90,Retrograde-9,25,0,0
Flight 10,488890.8251,51951.11994,-85,3999,90,Retrograde-9,25,0,0
Flight 10,488890.9651,51828.99723,-85,3999,90,Retrograde-9,25,0,0
Flight 10,488891.1051,51706.68488,-85,3999,90,Retrograde-9,25,0,0
Flight 10,488891.2451,51584.18989,-85,3998,90,Retrograde-9,25,1,0
Flight 10,488891.3851,51461.50525,-85,3998,90,Retrograde-9,25,0,0
Flight 10,488891.5251,51338.64109,-85,3998,90,Retrograde-9,25,0,0
Flight 10,488891.6651,51215.58295,-85,3997,90,Retrograde-9,25,1,0
Flight 10,488891.8051,51092.34651,-85,3997,90,Retrograde-9,25,0,0
Flight 10,488891.9451,50968.91637,-85,3996,90,Retrograde-9,25,1,0
Flight 10,488892.0851,50845.30736,-85,3996,90,Retrograde-9,25,0,0
Flight 10,488892.2251,50721.5087,-84,3996,90,Retrograde-9,25,0,1
Flight 10,488892.3651,50597.52619,-85,3995,90,Retrograde-9,25,1,-1
Flight 10,488892.5051,50473.35984,-85,3995,90,Retrograde-9,25,0,0
Flight 10,488892.6451,50349.00477,-84,3995,90,Retrograde-9,25,0,1
Flight 10,488892.7851,50224.46154,-84,3995,90,Retrograde-9,25,0,0
Flight 10,488892.9251,50099.73484,-84,3995,90,Retrograde-9,25,0,0
Flight 10,488893.0651,49974.82035,-84,3995,90,Retrograde-9,25,0,0
Flight 10,488893.2051,49849.7223,-84,3995,90,Retrograde-9,25,0,0
Flight 10,488893.3451,49724.43891,-84,3995,90,Retrograde-9,25,0,0
Flight 10,488893.4851,49598.97441,-84,3994,90,Retrograde-9,25,1,0
Flight 10,488893.6251,49473.32371,-84,3994,90,Retrograde-9,25,0,0
Flight 10,488893.7651,49347.48419,-84,3993,90,Retrograde-9,25,1,0
Flight 10,488893.9051,49221.46185,-84,3993,90,Retrograde-9,25,0,0
Flight 10,488894.0451,49095.25381,-84,3992,90,Retrograde-9,25,1,0
Flight 10,488894.1851,48968.86136,-83,3992,90,Retrograde-9,25,0,1
Flight 10,488894.3251,48842.28102,-83,3991,90,Retrograde-9,25,1,0
Flight 10,488894.4651,48715.52061,-83,3991,90,Retrograde-9,25,0,0
Flight 10,488894.6051,48588.577,-83,3991,90,Retrograde-9,25,0,0
Flight 10,488894.7451,48461.44373,-83,3991,90,Retrograde-9,25,0,0
Flight 10,488894.8851,48334.12849,-83,3991,90,Retrograde-9,25,0,0
Flight 10,488895.0251,48206.62575,-83,3991,90,Retrograde-9,25,0,0
Flight 10,488895.1651,48078.94226,-83,3991,90,Retrograde-9,25,0,0
Flight 10,488895.3051,47951.07314,-83,3991,90,Retrograde-9,25,0,0
Flight 10,488895.4451,47823.0245,-82,3990,90,Retrograde-9,25,1,1
Flight 10,488895.5851,47694.78347,-83,3990,90,Retrograde-9,25,0,-1
Flight 10,488895.7251,47566.36133,-83,3990,90,Retrograde-9,25,0,0
Flight 10,488895.8651,47437.75515,-82,3989,90,Retrograde-9,25,1,1
Flight 10,488896.0051,47308.96541,-82,3988,90,Retrograde-9,25,1,0
Flight 10,488896.1451,47179.99098,-82,3988,90,Retrograde-9,25,0,0
Flight 10,488896.2851,47050.83428,-82,3988,90,Retrograde-9,25,0,0
Flight 10,488896.4251,46921.50024,-82,3987,90,Retrograde-9,25,1,0
Flight 10,488896.5651,46791.97595,-81,3987,90,Retrograde-9,25,0,1
Flight 10,488896.7051,46662.27091,-81,3987,90,Retrograde-9,25,0,0
Flight 10,488896.8451,46532.38082,-81,3987,90,Retrograde-9,25,0,0
Flight 10,488896.9851,46402.30847,-81,3986,90,Retrograde-9,25,1,0
Flight 10,488897.1251,46272.05049,-81,3986,90,Retrograde-9,25,0,0
Flight 10,488897.2651,46141.61485,-81,3986,90,Retrograde-9,25,0,0
Flight 10,488897.4051,46010.99049,-81,3985,90,Retrograde-9,25,1,0
Flight 10,488897.5451,45880.19215,-80,3985,90,Retrograde-9,25,0,1
Flight 10,488897.6851,45749.20696,-80,3984,90,Retrograde-9,25,1,0
Flight 10,488897.8251,45618.03978,-80,3983,90,Retrograde-9,25,1,0
Flight 10,488897.9651,45486.69036,-80,3983,90,Retrograde-9,25,0,0
Flight 10,488898.1051,45355.1553,-80,3982,90,Retrograde-9,25,1,0
Flight 10,488898.2451,45223.44381,-80,3982,90,Retrograde-9,25,0,0
Flight 10,488898.3851,45091.55158,-79,3981,90,Retrograde-9,25,1,1
Flight 10,488898.5251,44959.47128,-79,3981,90,Retrograde-9,25,0,0
Flight 10,488898.6651,44827.21181,-79,3981,90,Retrograde-9,25,0,0
Flight 10,488898.8051,44694.7716,-79,3980,90,Retrograde-9,25,1,0
Flight 10,488898.9451,44562.15251,-79,3980,90,Retrograde-9,25,0,0
Flight 10,488899.0851,44429.34967,-79,3980,90,Retrograde-9,25,0,0
Flight 10,488899.2251,44296.37132,-78,3979,90,Retrograde-9,25,1,1
Flight 10,488899.3651,44163.20369,-78,3979,90,Retrograde-9,25,0,0
Flight 10,488899.5051,44029.85653,-78,3979,90,Retrograde-9,25,0,0
Flight 10,488899.6451,43896.33086,-77,3978,90,Retrograde-9,25,1,1
Flight 10,488899.7851,43762.62509,-77,3977,90,Retrograde-9,25,1,0
Flight 10,488899.9251,43628.74016,-77,3976,90,Retrograde-9,25,1,0
Flight 10,488900.0651,43494.67449,-76,3976,90,Retrograde-9,25,0,1
Flight 10,488900.2051,43360.42692,-76,3975,90,Retrograde-9,25,1,0
Flight 10,488900.3451,43226.00942,-76,3974,90,Retrograde-9,25,1,0
Flight 10,488900.4851,43091.40504,-76,3974,90,Retrograde-9,25,0,0
Flight 10,488900.6251,42956.62058,-76,3974,90,Retrograde-9,25,0,0
Flight 10,488900.7651,42821.65788,-76,3973,90,Retrograde-9,25,1,0
Flight 10,488900.9051,42686.51847,-75,3973,90,Retrograde-9,25,0,1
Flight 10,488901.0451,42551.19745,-75,3972,90,Retrograde-9,25,1,0
Flight 10,488901.1851,42415.69944,-75,3972,90,Retrograde-9,25,0,0
Flight 10,488901.3251,42280.02564,-74,3971,90,Retrograde-9,25,1,1
Flight 10,488901.4651,42144.17579,-74,3971,90,Retrograde-9,25,0,0
Flight 10,488901.6051,42008.1477,-74,3970,90,Retrograde-9,25,1,0
Flight 10,488901.7451,41871.93924,-74,3969,90,Retrograde-9,25,1,0
Flight 10,488901.8851,41735.55621,-73,3968,90,Retrograde-9,25,1,1
Flight 10,488902.0251,41598.9928,-73,3967,90,Retrograde-9,25,1,0
